Entidad_federativa,Porcentaje_emigrante_a_EEUU_2018_2023
Guerrero,99.5
Zacatecas,97.5
Chiapas,97.4
Oaxaca,96.7
Sonora,96.3
Durango,95.2
Chihuahua,95.0
Sinaloa,94.7
Tamaulipas,94.6
Guanajuato,94.0
Michoacán de Ocampo,93.7
Nayarit,92.5
Baja California,91.9
San Luis Potosí,91.9
Querétaro,91.1
Puebla,90.9
Veracruz de Ignacio de la Llave,89.6
Estados Unidos Mexicanos,87.9
Jalisco,86.6
Colima,85.0
Hidalgo,83.9
Morelos,83.6
Coahuila de Zaragoza,82.8
Aguascalientes,81.7
Baja California Sur,77.4
Tlaxcala,72.6
Nuevo León,68.9
Campeche,67.6
Tabasco,65.6
México,59.6
Quintana Roo,50.3
Yucatán,46.8
Ciudad de México,41.1
